iter	Logloss
0	0.6850108934
1	0.6755618206
2	0.6646827852
3	0.6576614885
4	0.6489613788
5	0.6380678766
6	0.6320914741
7	0.6269465526
8	0.6218823849
9	0.6133693996
10	0.6092408595
11	0.6024484169
12	0.5934095667
13	0.5891307361
14	0.5815960701
15	0.5747850804
16	0.5679033776
17	0.5638268449
18	0.5599052279
19	0.5537099767
20	0.547800648
21	0.5421885196
22	0.5365946395
23	0.5302071383
24	0.5244468829
25	0.5177494273
26	0.5151570486
27	0.5074905624
28	0.5047458177
29	0.498956998
30	0.4923506179
31	0.4866164053
32	0.4843760839
33	0.480619641
34	0.4752099017
35	0.473712228
36	0.4690088791
37	0.4644473351
38	0.461058278
39	0.459634666
40	0.4555859584
41	0.4522860509
42	0.4489867598
43	0.4434477987
44	0.4413095873
45	0.4392709516
46	0.4347038172
47	0.4289110618
48	0.4251325541
49	0.4221058343
50	0.4186606391
51	0.4149166561
52	0.4108768621
53	0.4064954787
54	0.4023891087
55	0.4014931375
56	0.3989459066
57	0.3959032887
58	0.3924542214
59	0.3895442334
60	0.3874782369
61	0.3843224339
62	0.380291522
63	0.3777570682
64	0.3771246483
65	0.3749867461
66	0.3740195133
67	0.3710975862
68	0.3674923954
69	0.3666911013
70	0.3653161977
71	0.3616748614
72	0.3594137108
73	0.358730342
74	0.3567943
75	0.3536661803
76	0.3514805337
77	0.349615651
78	0.3472286534
79	0.3445743339
80	0.3428896733
81	0.339822583
82	0.3384057405
83	0.3361490969
84	0.3337503271
85	0.3315367689
86	0.3291116101
87	0.3281090776
88	0.3257085601
89	0.324382296
90	0.3228453559
91	0.3210872683
92	0.3191330178
93	0.3172364459
94	0.3157877236
95	0.3140156308
96	0.312846842
97	0.3111138832
98	0.3095818136
99	0.3075348409
100	0.3062673132
101	0.3055725092
102	0.3049668285
103	0.3036649314
104	0.3017554972
105	0.3009304218
106	0.2987882778
107	0.2972226316
108	0.2953790324
109	0.2941454509
110	0.2926272016
111	0.2908112851
112	0.2894641464
113	0.2879053928
114	0.2870968509
115	0.2855238848
116	0.2849288652
117	0.2838324772
118	0.2827573858
119	0.2818230458
120	0.2803883597
121	0.2794842474
122	0.2783264538
123	0.277218371
124	0.276547506
125	0.2752451787
126	0.2740018001
127	0.2739348856
128	0.2728390568
129	0.271545927
130	0.2707667312
131	0.2696513577
132	0.2688267798
133	0.2677385185
134	0.2667112113
135	0.2657136476
136	0.2647666103
137	0.2632432893
138	0.2627408912
139	0.2617258523
140	0.2607018956
141	0.2593179616
142	0.2581532644
143	0.2564552553
144	0.255774084
145	0.2544037607
146	0.2532934178
147	0.25194011
148	0.2515622733
149	0.2500263052
150	0.2488961496
151	0.2482725297
152	0.2473819303
153	0.2465937591
154	0.245590125
155	0.2440139811
156	0.2431682487
157	0.2417344404
158	0.2410216261
159	0.2409934425
160	0.2403143423
161	0.2396912045
162	0.238365874
163	0.2372819957
164	0.2362807694
165	0.2352747517
166	0.2352277332
167	0.2344416368
168	0.2337854398
169	0.2326285414
170	0.2320556786
171	0.2316536092
172	0.2308285559
173	0.229909
174	0.2291503429
175	0.2284184182
176	0.2277519687
177	0.2274601198
178	0.2266243673
179	0.2260861074
180	0.224774733
181	0.2236131175
182	0.2230948181
183	0.2225288586
184	0.2220634482
185	0.2214340989
186	0.2207477698
187	0.21988682
188	0.2190921131
189	0.2186058045
190	0.2179859941
191	0.2174238274
192	0.2164688829
193	0.2156868336
194	0.2153233914
195	0.2149414559
196	0.2140193002
197	0.2133782686
198	0.212477803
199	0.2119821021
200	0.2111847682
201	0.2100430691
202	0.2093290487
203	0.2088691641
204	0.2080519808
205	0.2076426439
206	0.2071081844
207	0.2063884408
208	0.2055987364
209	0.2044525521
210	0.2038498945
211	0.2034612379
212	0.2030929917
213	0.2025617012
214	0.2018702427
215	0.2015104008
216	0.2008543957
217	0.2003141378
218	0.1998207832
219	0.1994047876
220	0.1982826127
221	0.1977075385
222	0.1973031456
223	0.196690935
224	0.1961967084
225	0.1956878069
226	0.1950897662
227	0.194672327
228	0.194349014
229	0.1937362893
